,Year,State,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
0,2000,Arizona,47.117747440273035,39.026734926052335,7.308792532853378,10.583338123839814
1,2000,California,29.993446392641562,32.71520551882725,6.580615788233772,8.63281865366096
2,2000,Colorado,32.75342465753425,27.553424657534247,14.312766787341493,8.777749392137057
3,2000,Florida,25.573033707865168,39.21910112359551,7.3360621544340505,8.169645651949272
4,2000,Illinois,42.15482954545455,24.0625,15.849875675884437,8.53807006461529
5,2000,Indiana,31.74251497005988,43.209580838323355,16.02503813505705,9.061171588839484
6,2000,Kansas,18.80081300813008,40.173441734417345,6.383853025601148,8.543012784497034
7,2000,Louisiana,33.45628415300546,38.76775956284153,13.56343674766786,8.81523722805292
8,2000,New York,36.54144527098831,30.8230605738576,14.134425006148689,7.193568325652876
9,2000,North Carolina,31.740331491712706,60.33425414364641,12.700237460163718,7.818739326292798
10,2000,Pennsylvania,29.204182804027884,39.61951975213013,14.331248796615993,5.694038392851042
11,2000,Texas,32.42594433399602,38.65059642147117,10.693906660431715,7.243325465908513
12,2001,Arizona,41.488154269972455,34.91570247933884,6.500396509217781,9.626948413189632
13,2001,California,30.484296499288035,34.29883667821928,6.724275650624267,8.30680592919664
14,2001,Colorado,48.03115264797508,27.118380062305295,15.551741737198537,8.960914159772441
15,2001,Florida,25.08936170212766,35.04539007092198,6.645206309346769,7.5018410215089695
16,2001,Illinois,37.91226954863318,31.9262555626192,17.311309838312923,7.916289519582019
17,2001,Indiana,30.837078651685392,50.28651685393258,12.951230693759879,5.9196456519491685
18,2001,Kansas,19.412868632707774,36.83512064343164,6.214808727919567,6.1712195893532575
19,2001,Louisiana,32.7,35.672222222222224,12.83158337790465,9.348297337342538
20,2001,New York,38.94125500667557,30.929684023141967,14.781158737643588,7.186994134255194
21,2001,North Carolina,29.32601880877743,57.25705329153605,12.432580417263775,6.904253450195175
22,2001,Pennsylvania,30.080657551083117,47.09632816100783,14.649921875028582,5.780291760857085
23,2001,Texas,31.61233140655106,37.6878612716763,8.030033923826291,6.819105929765299
24,2002,Arizona,43.52243767313019,36.7202216066482,6.978747890062231,9.828215178152753
25,2002,California,28.783930956539606,35.386263228192746,6.2960451160270665,8.142574975961397
26,2002,Colorado,37.9097605893186,33.101289134438304,14.78541241412321,7.764414653479999
27,2002,Florida,23.1267217630854,33.815426997245176,5.562104498198556,6.638793205111111
28,2002,Illinois,34.1542025148908,35.12508272667108,14.206880274735296,7.834830562135853
29,2002,Indiana,33.4296875,57.671875,13.647816016793616,6.302984837342437
30,2002,Kansas,17.16593886462882,35.92638802245789,6.561091418384322,5.939658349608698
31,2002,Louisiana,31.367198838896954,32.27140783744557,10.52232934623217,8.477252344599425
32,2002,New York,38.217831325301205,34.5055421686747,13.887128893299543,6.742394543445057
33,2002,North Carolina,27.202643171806166,66.26431718061674,12.756210152256092,6.358429495932841
34,2002,Pennsylvania,27.803386782556572,49.17683200959089,13.8626154640765,5.2253324202111315
35,2002,Texas,31.797310756972113,41.23406374501992,4.910533037577019,6.402429955538449
36,2003,Arizona,41.89301447451227,35.479546884833226,6.8440012158180865,9.121017099874141
37,2003,California,27.57973845569483,35.59916436051875,5.9733167811707215,7.873359213948352
38,2003,Colorado,40.935749588138385,31.573311367380562,13.107395660533264,8.12515912974444
39,2003,Florida,22.475138121546962,33.74033149171271,5.35631480823007,6.357413359441963
40,2003,Illinois,34.93217391304348,31.69217391304348,16.711015745054407,7.379166902559944
41,2003,Indiana,30.921348314606742,44.853932584269664,13.900668896007073,6.453353517117712
42,2003,Kansas,18.307060755336618,38.10016420361248,7.98243860505301,5.554947583647935
43,2003,Louisiana,29.79722222222222,32.94722222222222,11.294083377904663,7.974686226231419
44,2003,New York,35.73548712771328,30.036850075719332,14.616246889576562,7.2244457472365635
45,2003,North Carolina,24.77463193657984,50.056625141562854,12.238040216963418,6.736687255051868
46,2003,Pennsylvania,26.137689969604864,39.356686930091186,13.869656773703799,5.264407794887331
47,2003,Texas,31.067715959004392,39.11639824304539,8.128391027945225,7.048991552084193
48,2004,Arizona,38.65731912507011,35.66236679753225,6.524601543293823,7.941093247599428
49,2004,California,26.361987871616623,34.65762461174383,6.325044926103672,7.309701126957614
50,2004,Colorado,39.886297376093296,27.08454810495627,11.378671975248363,8.304419786322118
51,2004,Florida,20.867977528089888,36.418539325842694,5.237747547692482,6.617679359814433
52,2004,Illinois,32.28087986463621,29.314720812182742,14.442067021446661,7.629431009085367
53,2004,Indiana,28.034965034965033,42.67132867132867,14.474056182877503,7.173122512167602
54,2004,Kansas,18.69242658423493,29.842349304482227,8.15070797003931,6.074031494993221
55,2004,Louisiana,28.64109589041096,32.02465753424657,11.007287335286698,7.131174049671292
56,2004,New York,33.24833538840937,29.056226880394576,14.486318019625383,6.4145739594541995
57,2004,North Carolina,23.461722488038276,49.411483253588514,12.451512936650001,6.268632265572192
58,2004,Pennsylvania,25.08524441762221,37.32845503922752,13.726775236498177,5.633556585581971
59,2004,Texas,27.832554796981675,34.93675889328063,7.197908317003097,6.144181848544323
60,2005,Arizona,38.99168687218566,38.24454450987184,6.263375799872853,8.558048533276349
61,2005,California,24.52055584385631,33.46543273943378,6.040613218631498,6.795247115349489
62,2005,Colorado,42.67707317073171,30.23707317073171,10.340842537752774,8.102687581244984
63,2005,Florida,18.861495844875346,36.770083102493075,5.195091380367016,6.8362474758466725
64,2005,Illinois,32.74734982332156,36.957597173144876,17.631293821563855,6.896707231335478
65,2005,Indiana,29.58695652173913,50.28260869565217,16.049820092880534,6.381449511255483
66,2005,Kansas,20.859784283513097,35.75808936825886,8.296801234436094,6.274106274168421
67,2005,Louisiana,27.951063829787234,36.146808510638294,11.51967439445311,6.5621271245765715
68,2005,New York,34.261146496815286,32.32631063204312,14.951133475873975,6.108782393687497
69,2005,North Carolina,27.195348837209302,55.11162790697674,12.49053040632847,6.961088035016891
70,2005,Pennsylvania,26.213784021071113,43.79397131987123,14.649910272763464,4.7789528831420345
71,2005,Texas,28.841842199214565,39.24669760799714,7.553688082573617,5.916183198584018
72,2006,Arizona,38.3854822671528,40.268147166059,6.02714694362482,8.222030085987145
73,2006,California,25.066857828364103,34.93305439330544,5.93700185377088,6.699880323052591
74,2006,Colorado,42.23364485981308,29.401869158878505,10.144420864924383,7.925867430800498
75,2006,Florida,19.4,40.07671232876712,4.981259938026487,5.87226994008223
76,2006,Illinois,31.22603978300181,30.74502712477396,10.884373713448154,6.22072048381631
77,2006,Indiana,24.304597701149426,35.0632183908046,16.49188031277058,7.331630670675797
78,2006,Kansas,22.64187866927593,37.303326810176124,9.360320603388486,6.192035106422763
79,2006,Louisiana,29.25319693094629,33.85677749360614,11.375107816665668,6.095484038109776
80,2006,New York,31.848629320619786,32.34525228446564,11.707134772845647,5.579147555856675
81,2006,North Carolina,26.72222222222222,54.0,12.805657451978723,6.266815855861041
82,2006,Pennsylvania,24.558027743441833,39.474385386622714,12.916896327115206,4.874963565971004
83,2006,Texas,27.89701726844584,36.949764521193096,7.502852024323583,5.546962957436608
84,2007,Arizona,36.419304415787416,37.370457209847594,5.732454486410572,7.8279189483865235
85,2007,California,23.675629028343355,34.51430651816294,5.526806065320815,6.365708622510975
86,2007,Colorado,41.503586800573885,31.203730272596843,9.821960789031708,7.702027609939399
87,2007,Florida,14.133058984910837,37.997256515775035,5.7280682887414205,4.9866375293864325
88,2007,Illinois,27.375327102803737,32.6777570093458,8.265075070531843,5.544466198151037
89,2007,Indiana,23.246458923512748,46.920679886685555,11.521145071326183,6.190927074841981
90,2007,Kansas,27.10958904109589,31.427397260273974,10.344273636656572,6.427064460630185
91,2007,Louisiana,27.952112676056338,33.15211267605634,10.20726804144143,5.915198745793216
92,2007,New York,31.312418300653594,31.629411764705882,10.896207560911206,5.7443757687149555
93,2007,North Carolina,28.768595041322314,46.95730027548209,12.616512211697112,6.176671992989937
94,2007,Pennsylvania,23.756048387096776,43.68051075268817,13.361329558406332,4.85844587336145
95,2007,Texas,25.855303810504633,34.03347064881565,6.479187508812072,5.142478593778878
96,2008,Arizona,35.93019545273235,38.68847227762266,5.6321645284608675,6.93527312407455
97,2008,California,23.72077384143073,36.653720578919156,5.333153788161543,6.166661369178549
98,2008,Colorado,38.67077344284736,37.9958932238193,9.138014722463119,6.748467287607633
99,2008,Florida,12.6734375,36.0203125,5.53531601679355,4.5420473373425265
100,2008,Illinois,27.213995117982098,28.50040683482506,7.949347368502233,5.119534115210751
101,2008,Indiana,20.684782608695652,37.86413043478261,7.582428788532746,6.030906032994605
102,2008,Kansas,28.654178674351584,27.755043227665706,10.229442007427572,6.165444311405915
103,2008,Louisiana,26.19160839160839,30.718881118881118,10.763566672387954,5.3381550958562585
104,2008,New York,28.896527777777777,32.34930555555555,10.47186115568241,5.466352892898129
105,2008,North Carolina,23.34435261707989,40.7465564738292,10.283867583597939,5.6174433428521935
106,2008,Pennsylvania,22.03873744619799,39.3036389722186,11.265271380537122,4.466603063179714
107,2008,Texas,22.029619181946405,32.87608301430586,6.082341000973097,4.929386374620188
108,2009,Arizona,33.80396732788798,37.11007390120576,5.159100232565613,6.784762410334532
